ID,N,PF,PRF,RF,SF,SPF,SRF,SPRF
71,0.001458,0.0016,0.002061,0.000779,0.00584,-0.001819,0.007162,-0.004926
72,0.002743,0.000116,0.001691,-0.002881,-0.001056,0.001205,0.000825,0.004206
73,0.001596,0.004228,0.00486,-0.000845,-0.001354,0.005432,-0.000362,0.001939
74,0.001472,-0.002942,-0.000937,0.007622,0.010221,0.004541,-0.001902,0.00244
75,9.21E-05,0.005573,0.000284,0.001494,-0.008776,-0.00167,0.004935,-0.000954
76,0.003561,0.000874,0.003481,0.007427,0.009126,-0.001159,0.005618,0.004141
77,-0.000166,0.00023,-0.004999,-0.005791,-0.001525,0.003197,-0.008356,0.005088
78,0.004076,0.002454,0.009984,-0.002931,-0.003737,0.003907,0.004161,-0.000648
79,-0.002173,0.000514,-0.010513,0.000779,0.00835,0.000609,0.000954,-0.002687
80,0.004029,0.003584,0.023292,0.006623,0.001097,0.001331,0.007152,-0.001502
81,0.00394,-0.001122,-0.017383,0.006731,0.000727,-0.000287,-0.006052,0.014382
82,-0.000969,0.004377,0.013344,-0.00115,-0.003766,0.006289,0.005336,-0.009725
83,-7.22E-05,-0.003283,-0.014857,0.001733,0.007184,0.000275,-0.002401,-0.006336
84,0.001665,0.004368,0.017912,-0.003644,0.001027,0.000577,0.008305,0.036718
85,0.004993,0.002976,-0.009586,0.003735,-9.56E-05,-0.002066,-0.005733,-0.017855
86,0.000518,-0.000785,0.003305,-0.002625,-0.000557,0.005949,0.005833,0.009775
87,0.001009,0.005066,0.008114,0.009816,0.006876,0.003831,0.002084,-0.033347
88,0.001676,-0.002531,0.000401,-0.001352,-0.001671,0.001203,-0.002013,0.012853
89,0.001379,0.004713,-0.000687,0.002705,0.004004,-0.001986,0.004283,0.015505
90,0.000636,-0.001234,-0.00489,-0.00089,-0.006223,0.002481,-0.003883,0.008868
91,0.003143,0.003217,0.009896,0.003751,0.005533,0.004578,0.005355,0.012302
92,-0.000995,0.000209,-0.005092,3.30E-05,0.00991,0.001106,-0.001539,-0.018126
93,0.00625,0.003828,0.004855,-0.000748,-0.012053,-0.000923,0.006922,0.003025
94,0.000219,-0.000398,0.001912,0.003344,0.014682,0.00054,-0.005238,-0.013372
95,-0.000895,0.003533,0.003163,0.002908,-0.009703,0.007797,0.001537,0.014373
96,0.002506,-0.002172,0.002092,0.003913,0.008268,0.001235,0.003329,-0.00209
97,0.001344,0.00329,-0.004801,-0.001523,-0.004177,-0.003771,0.001581,0.019591
98,0.002045,0.002236,0.00304,0.002134,0.007139,0.00052,-0.000979,-0.004002
99,0.001885,0.001791,0.003847,-0.001374,-0.002268,0.006286,0.003096,0.002373
100,0.003854,0.00079,0.000668,0.003267,0.007165,0.005116,0.004442,-0.014406
101,-0.00179,0.000434,0.001358,0.002957,-0.005854,-0.004457,0.001192,0.009798
102,0.003398,0.004545,0.002766,0.001956,0.00609,0.003316,-0.001486,-0.007018
103,-0.00072,0.000241,0.002935,0.00151,0.001216,0.000905,-0.002756,0.014104
104,0.002206,-0.000867,-0.0049,0.001486,-0.004732,0.006411,0.007533,0.000922
105,0.003133,0.00567,0.005488,-0.001271,0.010742,-0.00291,-0.001718,0.009055
106,0.002429,-0.002989,-0.000411,0.002796,-0.004193,0.003305,0.002929,-0.005193
107,-0.000268,0.004649,0.006746,0.004035,0.006707,-7.09E-05,0.004982,-0.004251
108,0.002793,0.000442,-0.002929,0.002064,-0.007248,0.004737,-0.004347,-0.002033
109,0.000286,0.002526,-0.001858,-0.002496,0.008772,0.001194,0.003539,0.006582
110,0.002017,-4.36E-05,0.008342,0.00224,-0.001673,-0.000274,-0.007346,0.004886
111,0.00043,0.0011,-0.003841,0.001667,8.89E-05,0.000197,0.010607,0.003468
112,0.003501,0.003833,0.005387,0.003815,0.005658,0.006067,0.002513,0.001072
113,0.001908,0.002295,-0.003304,-0.000616,-0.001343,0.002934,-0.004485,0.00184
114,0.002475,-0.003339,0.008453,0.003832,0.004826,-6.83E-05,0.007506,0.00107
115,-0.000277,0.005295,-0.005592,0.001861,-0.00433,-0.0029,-0.004505,-0.006448
116,0.001063,0.000682,0.0047,0.000459,0.006304,0.003599,0.00595,0.002868
117,0.000773,0.005821,5.10E-06,-0.001852,-0.002194,0.004284,-0.005513,0.006578
118,0.004404,-0.005439,0.00147,0.002901,0.003835,0.002254,0.005623,0.007982
119,-0.000353,0.003053,0.006633,0.00203,0.001166,-0.000601,0.007645,0.000102
120,0.003925,0.003674,-0.00342,0.006868,0.00407,0.002877,-0.00616,-0.004393
121,-0.000204,0.001863,-0.000206,-0.002014,-0.001828,0.001038,0.005777,-0.000531
122,0.003005,-0.000774,0.004902,0.001615,0.00018,0.002626,-0.003545,0.004668
123,-0.000389,0.001838,-0.002924,0.000332,0.003848,-0.001189,-0.000685,0.00152
124,0.002078,0.003301,0.006758,0.000998,0.002126,0.004941,0.005639,-0.000555
125,0.000474,0.00081,-0.003963,-0.000136,0.000139,0.002238,-0.000508,0.007456
126,0.002919,0.002189,0.008098,0.001474,0.003036,0.004239,0.004451,0.005485
127,0.002984,-0.003672,-0.003813,0.007747,0.00188,-0.005352,-0.002792,-0.00254
128,0.001946,0.009164,0.004095,0.001626,-0.00055,0.002643,0.00304,-0.006866
129,0.000266,-0.002662,-0.002464,-0.000665,0.002614,0.001661,0.002978,0.003507
130,0.000293,0.001869,0.006721,-0.002557,-0.002001,0.007195,-0.001436,0.006352
131,0.00143,0.003405,-4.43E-05,0.003678,0.00569,0.000477,-0.002866,0.004295
132,0.002527,-0.000385,-0.00352,-0.000751,0.002519,0.000604,0.008768,0.001692
133,0.002371,0.00104,0.007508,0.004583,0.001337,-0.000385,0.002789,-0.000444
134,0.001689,0.002879,6.88E-05,0.003513,-0.001684,0.001671,5.10E-06,0.003749
135,0.001413,0.00207,0.002465,0.003444,0.002179,0.001224,-0.003897,-0.007699
136,0.001333,-0.002577,-0.002886,-0.001035,0.001876,0.004233,0.003102,0.006745
137,0.001042,0.007782,0.005496,-0.002943,0.002093,0.002239,0.004488,0.007619
138,0.000597,-0.003947,-0.002771,0.00286,0.003789,0.003852,0.000542,-0.003819
139,0.001586,0.006352,0.00516,0.001739,-0.003962,0.000911,-0.000487,0.003457
140,0.004554,-0.001071,-0.00244,0.005877,0.008732,-0.004301,0.001176,-0.000494
141,0.000827,-0.001973,0.006728,-0.001035,-0.004426,0.004635,0.003673,0.007173
142,0.001435,0.006717,0.002349,0.002951,0.003358,0.000677,-0.002354,-0.002698
143,0.000358,0.001612,-0.00644,0.001845,0.000626,0.006493,0.001778,-0.002033
144,0.001299,0.000499,0.008416,-0.000254,0.001155,-0.000465,0.005258,0.002748
145,0.001059,-0.001371,-0.002715,-0.001011,0.005881,0.003508,-0.000306,0.008179
146,0.002782,0.005573,0.005122,0.002389,-0.002501,-0.003556,-0.000644,0.000372
147,0.003142,-0.001382,-0.003113,0.004109,0.003152,0.00464,-0.004617,-0.00133
148,0.00161,0.002405,0.006878,0.004859,0.000987,0.00098,0.017661,0.000831
149,-0.000776,0.002254,-0.002713,-0.002207,7.46E-05,0.002569,-0.02004,0.005382
150,0.00185,0.001133,0.003517,0.002951,0.003116,0.001632,0.031761,-0.001608
151,0.001998,0.000657,-0.001045,-0.0012,0.00102,0.002027,-0.020266,-0.000105
152,0.001946,0.006461,0.002802,0.002596,0.003147,0.002301,-0.00264,0.002217
